"1 - A"
"1 - B"
"1 - C"
"1 - D"
"1 - E"
"1 - F"
"1 - G"
"10 - A"
"10 - B"
"10 - C"
"10 - D"
"10 - E"
"10 - F"
"10 - G"
"100 - A"
"100 - B"
"100 - C"
"100 - D"
"100 - E"
"100 - F"
"100 - G"
"11 - A"
"11 - B"
"11 - C"
"11 - D"
"11 - E"
"11 - F"
"11 - G"
"12 - A"
"12 - B"
"12 - C"
"12 - D"
"12 - E"
"12 - F"
"12 - G"
"13 - A"
"13 - B"
"13 - C"
"13 - D"
"13 - E"
"13 - F"
"13 - G"
"14 - A"
"14 - B"
"14 - C"
"14 - D"
"14 - E"
"14 - F"
"14 - G"
"15 - A"
"15 - B"
"15 - C"
"15 - D"
"15 - E"
"15 - F"
"15 - G"
"16 - A"
"16 - B"
"16 - C"
"16 - D"
"16 - E"
"16 - F"
"16 - G"
"17 - A"
"17 - B"
"17 - C"
"17 - D"
"17 - E"
"17 - F"
"17 - G"
"18 - A"
"18 - B"
"18 - C"
"18 - D"
"18 - E"
"18 - F"
"18 - G"
"19 - A"
"19 - B"
"19 - C"
"19 - D"
"19 - E"
"19 - F"
"19 - G"
"2 - A"
"2 - B"
"2 - C"
"2 - D"
"2 - E"
"2 - F"
"2 - G"
"20 - A"
"20 - B"
"20 - C"
"20 - D"
"20 - E"
"20 - F"
"20 - G"
"21 - A"
"21 - B"
"21 - C"
"21 - D"
"21 - E"
"21 - F"
"21 - G"
"22 - A"
"22 - B"
"22 - C"
"22 - D"
"22 - E"
"22 - F"
"22 - G"
"23 - A"
"23 - B"
"23 - C"
"23 - D"
"23 - E"
"23 - F"
"23 - G"
"24 - A"
"24 - B"
"24 - C"
"24 - D"
"24 - E"
"24 - F"
"24 - G"
"25 - A"
"25 - B"
"25 - C"
"25 - D"
"25 - E"
"25 - F"
"25 - G"
"26 - A"
"26 - B"
"26 - C"
"26 - D"
"26 - E"
"26 - F"
"26 - G"
"27 - A"
"27 - B"
"27 - C"
"27 - D"
"27 - E"
"27 - F"
"27 - G"
"28 - A"
"28 - B"
"28 - C"
"28 - D"
"28 - E"
"28 - F"
"28 - G"
"29 - A"
"29 - B"
"29 - C"
"29 - D"
"29 - E"
"29 - F"
"29 - G"
"3 - A"
"3 - B"
"3 - C"
"3 - D"
"3 - E"
"3 - F"
"3 - G"
"30 - A"
"30 - B"
"30 - C"
"30 - D"
"30 - E"
"30 - F"
"30 - G"
"31 - A"
"31 - B"
"31 - C"
"31 - D"
"31 - E"
"31 - F"
"31 - G"
"32 - A"
"32 - B"
"32 - C"
"32 - D"
"32 - E"
"32 - F"
"32 - G"
"33 - A"
"33 - B"
"33 - C"
"33 - D"
"33 - E"
"33 - F"
"33 - G"
"34 - A"
"34 - B"
"34 - C"
"34 - D"
"34 - E"
"34 - F"
"34 - G"
"35 - A"
"35 - B"
"35 - C"
"35 - D"
"35 - E"
"35 - F"
"35 - G"
"36 - A"
"36 - B"
"36 - C"
"36 - D"
"36 - E"
"36 - F"
"36 - G"
"37 - A"
"37 - B"
"37 - C"
"37 - D"
"37 - E"
"37 - F"
"37 - G"
"38 - A"
"38 - B"
"38 - C"
"38 - D"
"38 - E"
"38 - F"
"38 - G"
"39 - A"
"39 - B"
"39 - C"
"39 - D"
"39 - E"
"39 - F"
"39 - G"
"4 - A"
"4 - B"
"4 - C"
"4 - D"
"4 - E"
"4 - F"
"4 - G"
"40 - A"
"40 - B"
"40 - C"
"40 - D"
"40 - E"
"40 - F"
"40 - G"
"41 - A"
"41 - B"
"41 - C"
